City,Lat,Lng,Max temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ushuaia,-54.8,-68.3,28.4,92,70,2.6,AR,2020-07-16 11:27:46
Bredasdorp,-34.53,20.04,64.4,48,0,2.6,ZA,2020-07-16 11:27:46
Redmond,47.67,-122.12,62.00600000000001,89,10,0.31,US,2020-07-16 11:23:29
Minusinsk,53.71,91.69,71.6,40,79,1.0,RU,2020-07-16 11:27:46
Busselton,-33.65,115.33,55.994,75,100,3.95,AU,2020-07-16 11:27:46
Umm Bāb,25.21,50.81,109.4,32,1,6.2,QA,2020-07-16 11:27:46
Norfolk,42.17,-71.25,62.00600000000001,82,1,0.4,US,2020-07-16 11:27:46
Klaksvík,62.23,-6.59,51.8,100,75,2.1,FO,2020-07-16 11:27:47
Thompson,55.74,-97.86,57.2,93,75,4.6,CA,2020-07-16 11:27:47
Souillac,-20.52,57.52,75.2,64,40,5.1,MU,2020-07-16 11:27:47
Carnarvon,-24.87,113.63,69.8,94,90,4.1,AU,2020-07-16 11:27:47
Barrow,71.29,-156.79,33.8,91,90,4.1,US,2020-07-16 11:25:04
Havre-St-Pierre,50.23,-63.6,57.2,82,1,1.0,CA,2020-07-16 11:27:48
Saint George,37.1,-113.58,80.6,19,1,2.6,US,2020-07-16 11:24:14
Hermanus,-34.42,19.23,66.002,43,1,1.79,ZA,2020-07-16 11:27:48
Cap-aux-Meules,47.38,-61.86,57.2,82,20,5.1,CA,2020-07-16 11:27:49
Hasaki,35.73,140.83,66.2,88,75,4.6,JP,2020-07-16 11:27:49
Alyangula,-13.85,136.42,69.8,73,0,0.5,AU,2020-07-16 11:27:49
Matata,-37.88,176.75,53.006,82,100,0.45,NZ,2020-07-16 11:27:49
Avarua,-21.21,-159.78,69.8,73,70,3.1,CK,2020-07-16 11:27:49
Nouadhibou,20.93,-17.03,75.2,73,40,3.6,MR,2020-07-16 11:27:49
Bluff,-46.6,168.33,39.002,83,9,1.34,NZ,2020-07-16 11:27:50
Mataura,-46.19,168.86,39.002,83,4,1.34,NZ,2020-07-16 11:27:50
Punta Arenas,-53.15,-70.92,23.0,100,2,3.1,CL,2020-07-16 11:23:30
Khamamatyurt,43.61,46.5,93.2,32,20,6.0,RU,2020-07-16 11:27:50
Cuauhtémoc,28.42,-106.87,62.00600000000001,67,46,4.02,MX,2020-07-16 11:27:50
Varėna,54.22,24.57,77.0,35,8,2.1,LT,2020-07-16 11:27:50
Barcelos,41.54,-8.62,91.994,24,5,5.1,PT,2020-07-16 11:27:51
Ponta do Sol,32.67,-17.1,75.2,60,20,3.6,PT,2020-07-16 11:27:51
Saint-Philippe,-21.36,55.77,75.2,69,75,5.1,RE,2020-07-16 11:27:51
Bethel,41.37,-73.41,66.992,82,90,2.1,US,2020-07-16 11:27:51
Macaé,-22.37,-41.79,64.4,93,90,0.5,BR,2020-07-16 11:27:51
Westport,41.14,-73.36,71.6,60,40,3.6,US,2020-07-16 11:27:51
Mossamedes,-15.2,12.15,71.6,68,0,5.1,AO,2020-07-16 11:27:52
Mar del Plata,-38.0,-57.56,46.994,81,100,4.1,AR,2020-07-16 11:25:41
Cedar Falls,42.53,-92.45,55.994,93,40,1.03,US,2020-07-16 11:27:52
San Marcos,33.14,-117.17,68.0,72,90,1.27,US,2020-07-16 11:27:52
Arraial do Cabo,-22.97,-42.03,66.2,88,75,2.15,BR,2020-07-16 11:27:52
Raudeberg,61.99,5.14,68.0,67,75,5.7,NO,2020-07-16 11:27:52
Taft,31.75,54.21,96.8,19,40,4.1,IR,2020-07-16 11:27:52
Hobart,-42.88,147.33,46.4,87,75,3.1,AU,2020-07-16 11:25:59
Irondale,33.54,-86.71,73.4,88,20,1.5,US,2020-07-16 11:27:53
Sunrise Manor,36.21,-115.07,86.0,18,1,2.1,US,2020-07-16 11:27:53
Lerwick,60.15,-1.15,53.6,100,90,7.2,GB,2020-07-16 11:27:53
Santiago,-33.46,-70.65,41.0,100,90,1.0,CL,2020-07-16 11:25:36
Rome,43.21,-75.46,69.998,77,1,4.6,US,2020-07-16 11:27:53
Kushiro,42.98,144.37,53.6,100,75,1.5,JP,2020-07-16 11:27:53
Sūsangerd,31.56,48.18,114.8,14,0,2.1,IR,2020-07-16 11:27:54
Kaitangata,-46.28,169.85,42.998000000000005,69,44,1.79,NZ,2020-07-16 11:27:54
Alice Springs,-23.7,133.88,51.998,40,0,3.1,AU,2020-07-16 11:27:54
Vaini,-21.2,-175.2,73.4,83,40,3.6,TO,2020-07-16 11:27:54
Saint-Pierre,-21.34,55.48,75.2,69,75,5.1,RE,2020-07-16 11:27:54
Hof,50.32,11.92,62.00600000000001,82,75,2.6,DE,2020-07-16 11:27:54
Chapais,49.78,-74.85,59.0,93,90,4.6,CA,2020-07-16 11:27:55
Nurobod,40.91,69.8,100.4,17,20,3.1,UZ,2020-07-16 11:27:55
George Town,5.41,100.34,80.6,100,20,2.6,MY,2020-07-16 11:27:55
Yelkhovka,53.87,50.28,78.8,50,20,1.0,RU,2020-07-16 11:27:55
Cape Town,-33.93,18.42,71.006,45,0,1.0,ZA,2020-07-16 11:27:54
Kiryat Gat,31.61,34.76,89.006,57,0,0.89,IL,2020-07-16 11:27:55
